residence_ID,occupant_ID,amount,timestamp,status
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2002,1002,200.0,2024-01-11 13:14:27.279214,Successful
2002,1002,212.0,2024-01-11 13:42:56.038090,Successful
2002,1002,200.0,2024-01-15 00:05:01.849724,Successful
